DATE,MANMM101USA189S
1960-01-01,140300000000.0
1961-01-01,143066666666.667
1962-01-01,146475000000.0
1963-01-01,150925000000.0
1964-01-01,156808333333.333
1965-01-01,163458333333.333
1966-01-01,170958333333.333
1967-01-01,177666666666.667
1968-01-01,190133333333.333
1969-01-01,201425000000.0
1970-01-01,209116666666.667
1971-01-01,223183333333.333
1972-01-01,239041666666.667
1973-01-01,256350000000.00003
1974-01-01,269200000000.0
1975-01-01,281433333333.333
1976-01-01,297200000000.0
1977-01-01,320000000000.0
1978-01-01,346316666666.667
1979-01-01,372708333333.33295
1980-01-01,395733333333.333
1981-01-01,424900000000.0
1982-01-01,453000000000.0
1983-01-01,503175000000.0
1984-01-01,538641666666.667
1985-01-01,586950000000.0
1986-01-01,666358333333.333
1987-01-01,743450000000.0
1988-01-01,774758333333.333
1989-01-01,782191666666.666
1990-01-01,810566666666.666
1991-01-01,858983333333.333
1992-01-01,965941666666.666
1993-01-01,1078508333333.33
1994-01-01,1145216666666.6702
1995-01-01,1143075000000.0
1996-01-01,1106533333333.3298
1997-01-01,1070125000000.0
1998-01-01,1080558333333.33
1999-01-01,1102275000000.0
2000-01-01,1103600000000.0
2001-01-01,1140300000000.0
2002-01-01,1196700000000.0
2003-01-01,1274041666666.67
2004-01-01,1344591666666.6702
2005-01-01,1371950000000.0
2006-01-01,1375000000000.0
2007-01-01,1373008333333.33
2008-01-01,1435200000000.0
2009-01-01,1638050000000.0
2010-01-01,1742691666666.67
2011-01-01,2010508333333.33
2012-01-01,2315500000000.0
2013-01-01,2549725000000.0
2014-01-01,2815158333333.33
2015-01-01,3021900000000.0
2016-01-01,3248916666666.67
2017-01-01,3524533333333.33
2018-01-01,3680583333333.33
2019-01-01,3845316666666.67
2020-01-01,12783475000000.0
2021-01-01,19364708333333.3
2022-01-01,20399858333333.3
